playId,gameId,run_type
80,2022090800,QB Scramble
146,2022090800,Power
896,2022090800,Outside Zone
1385,2022090800,HB Sweep
2072,2022090800,Power
2360,2022090800,Inside Zone
2464,2022090800,QB Scramble
2485,2022090800,Outside Zone
2506,2022090800,Outside Zone
2712,2022090800,Read Option (QB Keep)
2839,2022090800,RB Swing
3304,2022090800,Counter
78,2022091100,HB Sweep
301,2022091100,Inside Zone
741,2022091100,Inside Zone
807,2022091100,Inside Zone
870,2022091100,Outside Zone
1046,2022091100,Inside Zone
1067,2022091100,Read Option (QB Keep)
1260,2022091100,Outside Zone
2048,2022091100,Inside Zone
2114,2022091100,Power
2183,2022091100,Inside Zone
2332,2022091100,Inside Zone
2353,2022091100,Inside Zone
2640,2022091100,Read Option (QB Keep)
2683,2022091100,QB Scramble
2720,2022091100,Outside Zone
3334,2022091100,HB Sweep
3926,2022091100,Read Option (QB Keep)
158,2022091101,Inside Zone
213,2022091101,Counter
251,2022091101,HB Sweep
521,2022091101,HB Sweep
620,2022091101,Inside Zone
641,2022091101,Inside Zone
993,2022091101,Power
2051,2022091101,Inside Zone
2365,2022091101,Outside Zone
2386,2022091101,Inside Zone
2478,2022091101,Power
2501,2022091101,HB Toss
2909,2022091101,Reverse
3357,2022091101,Inside Zone
3378,2022091101,Inside Zone
145,2022091102,Jet Sweep
698,2022091102,Inside Zone
1029,2022091102,Inside Zone
1162,2022091102,Inside Zone
1363,2022091102,HB Toss
1588,2022091102,Inside Zone
1869,2022091102,Inside Zone
1907,2022091102,QB Scramble
2238,2022091102,Outside Zone
2281,2022091102,HB Toss
2415,2022091102,Inside Zone
2837,2022091102,QB Scramble
3315,2022091102,QB Scramble
3449,2022091102,QB Scramble
4019,2022091102,Inside Zone
274,2022091103,Inside Zone
319,2022091103,HB Toss
764,2022091103,Power
1016,2022091103,QB Scramble
1105,2022091103,Jet Sweep
1315,2022091103,Outside Zone
1363,2022091103,Inside Zone
1589,2022091103,HB Toss
1947,2022091103,Inside Zone
2037,2022091103,Outside Zone
2315,2022091103,HB Toss
2719,2022091103,Outside Zone
3680,2022091103,Jet Sweep
844,2022091104,QB Scramble
1020,2022091104,Outside Zone
1207,2022091104,Power
1826,2022091104,Inside Zone
1917,2022091104,Inside Zone
1986,2022091104,HB Toss
2269,2022091104,Read Option (QB Keep)
2447,2022091104,Counter
2641,2022091104,QB Scramble
2995,2022091104,QB Scramble
3016,2022091104,Counter
3286,2022091104,Outside Zone
3821,2022091104,Read Option (QB Keep)
3899,2022091104,QB Scramble
4372,2022091104,Power
4410,2022091104,Inside Zone
315,2022091105,QB Scramble
1236,2022091105,HB Toss
2796,2022091105,Inside Zone
3503,2022091105,Inside Zone
3670,2022091105,Inside Zone
3812,2022091105,Power
4352,2022091105,Counter
338,2022091106,Outside Zone
499,2022091106,HB Toss
998,2022091106,Reverse
1019,2022091106,HB Toss
2584,2022091106,Jet Sweep
2935,2022091106,HB Toss
3399,2022091106,Counter
68,2022091107,Power
254,2022091107,Counter
330,2022091107,HB Toss
2340,2022091107,Power
2659,2022091107,Power
104,2022091108,QB Scramble
751,2022091108,Counter
994,2022091108,Outside Zone
1039,2022091108,Inside Zone
1333,2022091108,HB Toss
1853,2022091108,Outside Zone
2473,2022091108,Outside Zone
2615,2022091108,Inside Zone
2846,2022091108,Jet Sweep
3063,2022091108,QB Scramble
