"fitting_safety_tackle","nflId","club","gameId","playId","diff_pred_safety_tackle_prob","event_sequence"
1,52542,"ATL",2022092511,55,-0.135869741439819,"ball_snap to handoff"
1,52542,"ATL",2022092511,55,-0.342630505561829,"handoff to first contact"
1,52542,"ATL",2022092511,55,0.0328165292739868,"first contact to tackle"
0,46086,"LAC",2022100206,56,0.055650532245636,"ball_snap to handoff"
0,46086,"LAC",2022100206,56,-0.061850443482399,"handoff to first contact"
0,46086,"LAC",2022100206,56,0.027734711766243,"first contact to tackle"
1,44925,"CHI",2022100208,56,-0.358605831861496,"ball_snap to handoff"
1,44925,"CHI",2022100208,56,0.184648007154465,"handoff to first contact"
1,44925,"CHI",2022100208,56,-0.11957174539566,"first contact to tackle"
0,53674,"PIT",2022101607,56,0.0167558044195175,"ball_snap to handoff"
0,53674,"PIT",2022101607,56,-0.0624153316020966,"handoff to first contact"
0,53674,"PIT",2022101607,56,0.00997591018676758,"first contact to tackle"
0,47846,"KC",2022102310,56,0.0230983570218086,"ball_snap to handoff"
0,47846,"KC",2022102310,56,0.136829994618893,"handoff to first contact"
0,47846,"KC",2022102310,56,-0.106272399425507,"first contact to tackle"
0,47846,"KC",2022101000,57,0.123775124549866,"ball_snap to handoff"
0,47846,"KC",2022101000,57,-0.0959623828530312,"handoff to first contact"
0,47846,"KC",2022101000,57,0.0746601596474648,"first contact to tackle"
0,47974,"PHI",2022103008,57,-0.0682561919093132,"ball_snap to handoff"
0,47974,"PHI",2022103008,57,0.136306546628475,"handoff to first contact"
0,47974,"PHI",2022103008,57,-0.157272338867188,"first contact to tackle"
0,52613,"MIN",2022092504,63,0.0225110286846757,"ball_snap to handoff"
0,52613,"MIN",2022092504,63,0.0232175588607788,"handoff to first contact"
0,52613,"MIN",2022092504,63,-0.0430542388930917,"first contact to tackle"
0,44999,"BAL",2022091107,68,0.408254591748118,"ball_snap to handoff"
0,44999,"BAL",2022091107,68,-0.199246600270271,"handoff to first contact"
0,44999,"BAL",2022091107,68,-0.128125973045826,"first contact to tackle"
0,43757,"TEN",2022100207,77,0.101966923102736,"ball_snap to handoff"
0,43757,"TEN",2022100207,77,-0.014204815030098,"handoff to first contact"
0,43757,"TEN",2022100207,77,0.000377923250198364,"first contact to tackle"
1,40017,"NO",2022091100,78,0.170824229717255,"ball_snap to handoff"
1,40017,"NO",2022091100,78,-0.359656274318695,"handoff to first contact"
1,40017,"NO",2022091100,78,-0.167660802602768,"first contact to tackle"
0,47804,"GB",2022092512,78,0.0741593651473522,"ball_snap to handoff"
0,47804,"GB",2022092512,78,-0.0783923231065273,"handoff to first contact"
0,47804,"GB",2022092512,78,0.0699948258697987,"first contact to tackle"
0,46259,"DET",2022102303,78,0.0865674540400505,"ball_snap to handoff"
0,46259,"DET",2022102303,78,-0.0308957546949387,"handoff to first contact"
0,46259,"DET",2022102303,78,0.166150093078613,"first contact to tackle"
0,47882,"TB",2022091804,80,0.0338094308972359,"ball_snap to handoff"
0,47882,"TB",2022091804,80,0.00100390613079071,"handoff to first contact"
0,47882,"TB",2022091804,80,0.0287629291415215,"first contact to tackle"
0,48026,"LA",2022091807,80,0.162577554583549,"ball_snap to handoff"
0,48026,"LA",2022091807,80,-0.0285189747810364,"handoff to first contact"
0,48026,"LA",2022091807,80,-0.143782556056976,"first contact to tackle"
0,52542,"ATL",2022100908,85,0.00350422668270767,"ball_snap to handoff"
0,52542,"ATL",2022100908,85,0.381695127114654,"handoff to first contact"
0,52542,"ATL",2022100908,85,-0.218620851635933,"first contact to tackle"
0,46137,"KC",2022092502,86,0.292512699961662,"ball_snap to handoff"
0,46137,"KC",2022092502,86,-0.243904784321785,"handoff to first contact"
0,46137,"KC",2022092502,86,-0.120856314897537,"first contact to tackle"
0,40017,"NO",2022092500,87,0.00879415241070092,"ball_snap to handoff"
0,40017,"NO",2022092500,87,0.0323586128652096,"handoff to first contact"
0,40017,"NO",2022092500,87,0.0575997941195965,"first contact to tackle"
1,46259,"DET",2022100205,87,-0.38464218378067,"ball_snap to handoff"
1,46259,"DET",2022100205,87,0.369447350502014,"handoff to first contact"
1,46259,"DET",2022100205,87,0.150629937648773,"first contact to tackle"
0,35459,"DEN",2022100600,90,0.163244910538197,"ball_snap to handoff"
0,35459,"DEN",2022100600,90,-0.132749006152153,"handoff to first contact"
0,35459,"DEN",2022100600,90,-0.0199454016983509,"first contact to tackle"
1,35459,"DEN",2022101700,90,0.00272113084793091,"ball_snap to handoff"
1,35459,"DEN",2022101700,90,-0.485856890678406,"handoff to first contact"
1,35459,"DEN",2022101700,90,0.493073642253876,"first contact to tackle"
